Vendor_ID,month,Passengers_sum,Passengers_mean,Ride_Count
T00002,2008-12,1578,1.4264461552947727,1106.245752174157
T00002,2009-01,2572,1.4478406745789183,1776.4385578876113
T00002,2010-08,2,2.0,1.0
T00002,2010-09,395,1.3307839242822381,296.81753197690927
T00002,2011-01,13563303,1.5065061912522655,9003151.184347715
T00002,2011-02,14138458,1.5020724043065186,9412634.1443091
T00002,2011-03,15823147,2.006046227760389,7887728.0
T00002,2011-04,13783528,2.013712825426128,6844833.000000001
T00002,2011-05,15492073,2.023726421484109,7655220.999999999
T00002,2011-06,15082500,2.027398954342021,7439335.0
T00002,2011-07,14960037,2.060910074147118,7258947.0
T00002,2011-08,13004368,2.0558286166596766,6325609.0
T00002,2011-09,15025713,2.0742164285882896,7244043.0
T00002,2011-10,16206419,2.0980174467790387,7724635.0
T00002,2011-11,15062516,2.097617624175002,7180772.999999999
T00002,2011-12,15728441,2.1225167095597883,7410279.000000001
T00002,2012-01,12221310,2.103626404325639,5809639.0
T00002,2012-02,12820126,1.5563104375472019,8237512.061028746
T00002,2012-03,16809106,2.1056213811230835,7982967.000000001
T00002,2012-04,12131201,2.114868160700121,5736150.0
T00002,2012-05,12855381,2.1081818646959616,6097852.000000001
T00002,2012-06,15615527,2.110870134432814,7397673.000000001
T00002,2012-07,14976341,2.1133794646170814,7086442.0
T00002,2012-08,15013386,2.111773866946335,7109372.0
T00002,2012-09,15255513,1.5588264444706954,9786537.208239406
T00002,2012-10,15151914,2.119868677083631,7147571.999999999
T00002,2012-11,14401588,2.122171118903336,6786252.0
T00002,2012-12,15510310,2.1350294479510596,7264682.0
T00002,2013-01,15648779,2.1361432793736475,7325716.0
T00002,2013-02,14865721,2.138587717261486,6951186.0
T00002,2013-03,16795115,2.148464603472519,7817264.0
T00002,2013-04,15725166,2.1541824946608346,7299830.0
T00002,2013-05,16349675,2.147779775551895,7612361.0
T00002,2013-06,15516514,2.1502297881492396,7216212.0
T00002,2013-07,14958813,2.140468977335557,6988568.0
T00002,2013-08,11050805,2.133061904089081,5180724.0
T00002,2013-09,15251907,2.130471204100721,7158936.0
T00002,2013-10,15931595,2.11615800499087,7528547.000000001
